ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:00	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:01	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:29:01	7.94	9.12	15.42	13.79	14.11	19.62
